Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,off,on,62,62,62,62,76,68,76,76,66,66,66,66,66,66,66,66
off,off,off,off,off,on,on,62,62,62,62,76,68,76,76,66,66,66,66,66,66,66,66
off,off,off,off,on,off,on,56,56,56,56,76,68,76,76,58,58,58,58,58,58,58,58
off,off,off,off,on,on,on,56,56,56,56,76,68,76,76,58,58,58,58,58,58,58,58
off,off,off,on,off,off,on,56,56,56,56,76,68,76,76,58,58,58,58,58,58,58,58
off,off,off,on,off,on,on,56,56,56,56,76,68,76,76,58,58,58,58,58,58,58,58
off,off,off,on,on,off,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,off,on,on,on,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,off,off,off,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,off,off,on,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,off,on,off,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,off,on,on,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,on,off,off,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,on,off,on,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,on,on,off,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,on,on,on,on,on,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,on,off,off,off,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,off,off,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,off,on,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,off,on,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,on,off,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,on,off,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,on,on,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,off,on,on,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,off,off,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,off,off,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,off,on,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,off,on,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,on,off,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,on,off,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,on,on,off,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,on,on,on,on,on,any,36,36,36,36,66,66,66,66,38,38,38,38,38,38,38,38
off,off,off,any,off,any,off,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,off,on,any,off,any,off,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
off,off,off,any,on,any,off,42,42,42,42,70,68,70,70,46,46,46,46,46,46,46,46
on,off,off,off,off,off,on,74,68,74,74,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,off,off,on,on,74,68,74,74,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,off,on,off,on,66,66,66,66,76,68,76,76,70,68,70,70,70,68,70,70
on,off,off,off,on,on,on,66,66,66,66,76,68,76,76,70,68,70,70,70,68,70,70
