Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,off,on,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
off,off,off,off,off,on,on,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
off,off,off,off,on,off,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,off,off,on,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,off,on,off,off,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,off,on,off,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,off,on,on,off,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,off,on,on,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,off,off,off,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,off,off,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,off,on,off,on,70,68,44,68,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,off,on,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,on,off,off,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,on,off,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,on,on,off,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
off,off,on,on,on,on,on,70,68,44,70,76,68,61,76,70,68,32,70,70,68,32,70
